timestamp,source,destination,protocol,length,label
2024-02-28 12:25:48.426832,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:48.436801,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:49.428141,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:49.434847,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:50.430186,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:50.435994,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:51.431268,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:51.437853,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:52.433189,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:52.442141,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:53.434469,192.168.43.61,192.168.43.1,icmp,98,0
2024-02-28 12:25:53.441640,192.168.43.1,192.168.43.61,icmp,98,0
2024-02-28 12:25:58.250369,192.168.43.61,8.8.8.8,icmp,98,0
2024-02-28 12:25:58.980132,8.8.8.8,192.168.43.61,icmp,98,0
2024-02-28 12:25:59.249778,192.168.43.61,8.8.8.8,icmp,98,0
2024-02-28 12:25:59.594074,8.8.8.8,192.168.43.61,icmp,98,0
2024-02-28 12:26:00.250075,192.168.43.61,8.8.8.8,icmp,98,0
2024-02-28 12:26:00.627286,8.8.8.8,192.168.43.61,icmp,98,0
2024-02-28 12:26:01.250239,192.168.43.61,8.8.8.8,icmp,98,0
2024-02-28 12:26:01.643058,8.8.8.8,192.168.43.61,icmp,98,0
2024-02-28 12:26:13.273544,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.273566,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.278975,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.279241,192.168.43.61,192.168.43.1,udp,85,2
2024-02-28 12:26:13.279827,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.626520,192.168.43.1,192.168.43.61,udp,140,2
2024-02-28 12:26:13.626883,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.626966,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627014,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627064,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627111,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627158,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627202,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627247,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627292,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.627335,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.647945,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.647944,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.648233,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.648254,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.648320,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.648370,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.648420,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.648520,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.648571,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.650119,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.650425,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.650526,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.651408,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.651683,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.651768,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.652381,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.652611,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.652694,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.653217,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.653369,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.653429,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.653493,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.653622,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.653680,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.655032,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.655267,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.655345,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.658922,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.659142,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.659225,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.664968,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.665038,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.665299,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.665392,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.665445,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.665504,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.666597,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666691,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666693,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666696,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666696,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666713,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666713,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666693,192.168.43.1,192.168.43.61,tcp,74,2
2024-02-28 12:26:13.666697,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666697,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666783,192.168.43.61,192.168.43.1,tcp,66,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666714,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.666996,192.168.43.61,192.168.43.1,tcp,66,2
2024-02-28 12:26:13.667160,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667236,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667283,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667327,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667374,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667424,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667489,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667538,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667583,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667625,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667669,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667711,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667758,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667814,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667876,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667925,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.667969,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668014,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668056,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668097,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668139,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668183,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668239,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668304,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668353,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668396,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668453,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668498,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668542,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668587,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668631,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.668681,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.673460,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.673801,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.673901,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.674013,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.674259,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.674371,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.676422,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.676745,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.676852,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.676879,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.677036,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.677094,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.678677,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.678679,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.678678,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.678678,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.679023,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679110,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679157,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679201,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679247,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679296,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679341,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.679389,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.682730,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.682730,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.683054,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.683145,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.683200,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.683250,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.689654,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.689655,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.689654,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.689661,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.689661,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.689661,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.690057,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690153,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690205,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690254,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690301,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690345,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690387,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690430,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690475,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690522,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690566,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.690627,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.692727,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692727,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692729,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692728,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692730,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692730,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692732,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692731,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692731,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692731,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692729,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.692731,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.693192,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693280,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693365,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693417,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693463,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693507,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693552,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693597,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693641,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693684,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693727,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693770,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693815,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693862,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693905,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693951,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.693995,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694040,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694085,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694132,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694190,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694238,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694283,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.694324,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.707271,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707283,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707283,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707283,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707283,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707286,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707287,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707416,192.168.43.1,192.168.43.61,tcp,54,2
2024-02-28 12:26:13.707803,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.707891,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.707939,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.707985,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.708031,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.708075,192.168.43.61,192.168.43.1,tcp,74,2
2024-02-28 12:26:13.708123,192.168.43.61,192.168.43.1,tcp,74,2
